Suggested,Sugjeruar
Animation 'In' - Rotation,Animacioni 'In' - Rrotullimi
"Optionally add rotation to elements in Columns/Rows/Boxes transitions. Accepts three possible formats denoting either random, cycles or direction based rotation. 1) Random: {min,max} Applies a random amount of rotation within a specified range. E.g, {-45,45} to rotate by an amount between -45 and 45 degrees. 2) Cycles: [val,val,val] Cycles through applying specified movement amounts sequentially from one element to the next, in the order determined by the 'Flow' setting. E.g. [-10,10,25] will apply a -10 degree rotation to the first element, 10 degrees to the next, then 25 degrees, then the sequence repeats. 3) Direction Based: (val) e.g. (45) to add a 45 degree rotation when going to the next slide, and -45 degree rotation when going to the previous slide.","Shtoni opsionalisht rotacionin tek elementët në tranzicionet Kolona/Rreshta/Kutitë. Pranon tre formate të mundshme që tregojnë rotacion të rastësishëm, cikle ose drejtim. 1) Random: {min,max} Zbaton një sasi të rastësishme rrotullimi brenda një diapazoni të caktuar. P.sh., {-45,45} për t'u rrotulluar me një sasi midis -45 dhe 45 gradë. 2) Ciklet: [val,val,val] Ciklet nëpërmjet aplikimit të shumave të lëvizjes së specifikuar në mënyrë sekuenciale nga një element në tjetrin, sipas renditjes së përcaktuar nga cilësimi 'Flow'. P.sh. [-10,10,25] do të zbatojë një rrotullim -10 gradë në elementin e parë, 10 gradë në tjetrin, pastaj 25 gradë, pastaj sekuenca përsëritet. 3) Drejtimi i bazuar: (val) p.sh. (45) për të shtuar një rrotullim 45 gradë kur shkon te rrëshqitja tjetër dhe rrotullim -45 gradë kur shkon te rrëshqitja e mëparshme."
Animation 'Out' Automatically,Animacioni 'Dal' automatikisht
"When toggled to ON this option will automatically generate the best possible 'Out' animation, based on the settings of the 'In' animation.","Kur kaloni në ON, ky opsion do të gjenerojë automatikisht animacionin më të mirë të mundshëm 'Out', bazuar në cilësimet e animacionit 'In'."
Animation 'Out' Easing,Lehtësimi i animacionit 'Out'
"The easing equation for the 'Out' animation, i.e. how the animation speeds up and slows down during playback.","Ekuacioni lehtësues për animacionin 'Out', d.m.th. se si animacioni shpejtohet dhe ngadalësohet gjatë riprodhimit."
Animation 'Out' Columns / Boxes,Kolonat / Kutitë e animacionit 'Out'
Animation 'Out' Rows / Boxes,"Animacion ""Jashtë"" Rreshtat / Kutitë"
Animation 'Out' - Horizontal Move,Animacioni 'Jashtë' - Lëvizja horizontale
Animation 'Out' - Vertical Move,Animacioni 'Jashtë' - Lëvizja vertikale
Animation 'Out' - Horizontal Scale,Animacioni 'Jashtë' - Shkalla horizontale
Animation 'Out' - Vertical Scale,Animacioni 'Jashtë' - Shkalla vertikale
Animation 'Out' - Transparency,Animacioni 'Out' - Transparenca
"The standard input range is 0 to 1, where 0 is completely transparent and 1 is fully opaque. In most cases you should use a value between 0 and 1, however, if necessary you can reduce the value down as far as -3, which will allow you to time the opacity animation differently than the 'Out’ animation. The lower the value, the quicker the transparency animation will be compared to the rest of the ‘Out’ animation. This can be helpful in harmonizing complex animations.","Gama standarde e hyrjes është nga 0 në 1, ku 0 është plotësisht transparente dhe 1 është plotësisht e errët. Në shumicën e rasteve, duhet të përdorni një vlerë midis 0 dhe 1, megjithatë, nëse është e nevojshme, mund ta zvogëloni vlerën deri në -3, gjë që do t'ju lejojë të caktoni kohën e animacionit të tejdukshmërisë ndryshe nga animacioni 'Out'. Sa më e ulët të jetë vlera, aq më i shpejtë do të krahasohet animacioni i transparencës me pjesën tjetër të animacionit ""Out"". Kjo mund të jetë e dobishme në harmonizimin e animacioneve komplekse."
Animation 'Out' - Rotation,Animacioni 'Out' - Rrotullimi
Slide Animation Filters,Filtrat e animacionit të rrëshqitjes
Enable or disable filter effects on slide transition animations,Aktivizo ose çaktivizo efektet e filtrit në animacionet e tranzicionit të rrëshqitjes
Filter Animation Easing,Lehtësimi i animacionit të filtrit
Set the easing amount for any filter effect animations to help you correctly time them with the rest of the transition.,Cakto shumën lehtësuese për çdo animacion me efekt filtri për t'ju ndihmuar të caktoni kohën e duhur të tyre me pjesën tjetër të tranzicionit.
Slider Transition Blur Filter,Filtri i turbullimit të tranzicionit rrëshqitës
"Apply a blur filter effect during the slide transition animation. This option sets the width of the blur in pixels, with a value of 0 representing no blur.","Aplikoni një efekt filtri të turbullimit gjatë animacionit të tranzicionit të rrëshqitjes. Ky opsion vendos gjerësinë e turbullimit në piksel, me një vlerë prej 0 që nuk përfaqëson turbullim."
Slider Transition Grayscale Filter,Filtri i tranzicionit të rrëshqitësit në shkallë gri
"Apply a grayscale filter effect that reduces color during the slide transition animation. The minimum value is 0, which represents full color, and the maximum value is 100, which represents entirely black and white.","Aplikoni një efekt filtri në shkallë gri që redukton ngjyrën gjatë animacionit të tranzicionit të rrëshqitjes. Vlera minimale është 0, që përfaqëson ngjyrën e plotë, dhe vlera maksimale është 100, e cila përfaqëson tërësisht bardh e zi."
Slider Transition Sepia Filter,Slider Tranzicioni Filtri Sepia
"Apply a sepia color filter effect during the slide transition animation. The minimum value is 0, which represents full color, and the maximum value is 100, which represents full sepia.","Aplikoni një efekt filtri me ngjyra sepia gjatë animacionit të tranzicionit të rrëshqitjes. Vlera minimale është 0, që përfaqëson ngjyrën e plotë, dhe vlera maksimale është 100, e cila përfaqëson sepinë e plotë."
Slider Transition Brightness Filter,Filtri i ndriçimit të tranzicionit rrëshqitës
"Apply a brightness filter effect during the slide transition animation. A value of 100%represents normal brightness. Any value higher than 100%increases brightness, while values lower than 100%decrease brightness.","Aplikoni një efekt filtri të ndriçimit gjatë animacionit të tranzicionit të rrëshqitjes. Një vlerë prej 100%përfaqëson ndriçimin normal. Çdo vlerë më e lartë se 100%rrit ndriçimin, ndërsa vlerat më të ulëta se 100%ulin ndriçimin."
Slider Transition Contrast Filter,Filtri i kontrastit të tranzicionit rrëshqitës
"Apply a contrast filter effect during the slide transition animation. The maximum value is 100, which represents normal contrast, and values 99 or lower reduce contrast, down to a minimum of 0.","Aplikoni një efekt filtri kontrasti gjatë animacionit të tranzicionit të rrëshqitjes. Vlera maksimale është 100, që përfaqëson kontrastin normal dhe vlerat 99 ose më të ulëta reduktojnë kontrastin, deri në një minimum prej 0."
Slider Transition Invert Filter,Filtri përmbysës i tranzicionit rrëshqitës
"Apply a color inversion filter effect during the slide transition animation. The minimum value is 0, which represents normal color, and the maximum value is 100, which represents completely inverted color.","Aplikoni një efekt filtri të përmbysjes së ngjyrave gjatë animacionit të tranzicionit të rrëshqitjes. Vlera minimale është 0, e cila përfaqëson ngjyrën normale, dhe vlera maksimale është 100, e cila përfaqëson ngjyrën plotësisht të përmbysur."
Slider Transition 3D Effect,Efekti 3D i tranzicionit rrëshqitës
"Apply a 3D effect to the entire slide during the transition animation. Available effects are: 'Cube', 'In Cube', 'Fly Out Throw In', and 'Clap Out Clap In'","Aplikoni një efekt 3D në të gjithë rrëshqitjen gjatë animacionit të tranzicionit. Efektet e disponueshme janë: 'Cube', 'In Cube', 'Fly Out Throw In' dhe 'Clap Out Clap In'"
3D Effect Direction,Drejtimi i efektit 3D
Choose whether the 3D effect animation should move in a horizontal or vertical direction,Zgjidhni nëse animacioni me efekt 3D duhet të lëvizë në një drejtim horizontal ose vertikal
3D Effect Ease,Lehtësia e efektit 3D
"The easing equation for the 3D effect animation, i.e. how the animation speeds up and slows down during playback","Ekuacioni i lehtësimit për animacionin me efekt 3D, d.m.th. se si animacioni shpejtohet dhe ngadalësohet gjatë riprodhimit"
3D Effect Side Color,Ngjyra anësore me efekt 3D
"When using the 3D animated 'Cube' or 'In Cube' 3D effect, this option sets the color of any visible side of the animated cube that isn't already covered by slide content.","Kur përdorni efektin 3D të animuar 'Cube' ose 'In Cube' 3D, ky opsion cakton ngjyrën e çdo ane të dukshme të kubit të animuar që nuk është mbuluar tashmë nga përmbajtja e rrëshqitjes."
3D Effect Depth,Thellësia e efektit 3D
This option defines how much depth a 3D animated effect appears to have. Increasing the value make the far side of the effect look further away.,Ky opsion përcakton se sa thellësi duket të ketë një efekt i animuar 3D. Rritja e vlerës e bën anën e largët të efektit të duket më larg.
3D Effect Room Rotation,Rrotullimi i dhomës me efekt 3D
"Adds rotation on an additional axis when using a 3D animation effect, i.e. if '3D Effect Direction' is set to horizontal this option will also add vertical rotation, and vice versa. Either positive or negative values can be used in order to create rotation in one direction or the other.","Shton rrotullim në një bosht shtesë kur përdorni një efekt animacioni 3D, d.m.th. nëse '3D Effect Direction' vendoset në horizontale, ky opsion do të shtojë gjithashtu rrotullimin vertikal dhe anasjelltas. Vlerat pozitive ose negative mund të përdoren për të krijuar rrotullim në një drejtim ose në tjetrin."
Fly Out Throw In Z Rotation,Fly Out Throw In Z Rotation
"When using the 'Fly Out Throw In' 3D effect animation, this option controls rotation of the slide on the Z axis. In other words, setting either a positive or negative value can make the slide look like it's rolling or swinging in from the side.","Kur përdorni animacionin me efekt 3D 'Fly Out Throw In', ky opsion kontrollon rrotullimin e rrëshqitjes në boshtin Z. Me fjalë të tjera, vendosja e një vlere pozitive ose negative mund ta bëjë rrëshqitjen të duket sikur po rrotullohet ose po lëkundet nga ana."
Fly Out Distance,Fly Out Distance
"When using the 'Fly Out Throw In' 3D effect animation, this option controls the distance by which the slide will appear to 'fly out' of the container. At a value of 1 the slide will move a distance equal to 100%of its own width / height. At 2 it moves a distance twice its own size, at 0.5 the distance will be half its own size, and so on.","Kur përdorni animacionin me efekt 3D 'Fly Out Throw In', ky opsion kontrollon distancën me të cilën rrëshqitja do të duket se 'fluturon jashtë' nga kontejneri. Në një vlerë prej 1, rrëshqitja do të lëvizë një distancë të barabartë me 100%të gjerësisë / lartësisë së vet. Në 2 ajo lëviz një distancë dyfishi i madhësisë së saj, në 0.5 distanca do të jetë gjysma e madhësisë së saj, e kështu me radhë."
Throw In Distance,Hidhe në distancë
"When using the 'Fly Out Throw In' 3D effect animation, this option controls the distance by which the slide will appear to 'throw in' from outside the container. At a value of 1 the slide will move a distance equal to 100%of its own width / height. At 2 it moves a distance twice its own size, at 0.5 the distance will be half its own size, and so on.","Kur përdorni animacionin me efekt 3D 'Fly Out Throw In', ky opsion kontrollon distancën me të cilën rrëshqitja do të shfaqet për të 'hedhur' nga jashtë kontejnerit. Në një vlerë prej 1, rrëshqitja do të lëvizë një distancë të barabartë me 100%të gjerësisë / lartësisë së vet. Në 2 ajo lëviz një distancë dyfishi i madhësisë së saj, në 0.5 distanca do të jetë gjysma e madhësisë së saj, e kështu me radhë."
"Toggle a shadow effect on 3D transition animations. The shadow appears as a gradient that runs across the face of the slider while its moving, and helps enhance the feeling of depth.",Ndryshoni një efekt hije në animacionet e tranzicionit 3D. Hija shfaqet si një gradient që përshkon faqen e rrëshqitësit ndërsa lëviz dhe ndihmon në rritjen e ndjenjës së thellësisë.
3D Shadow Minimum Strength,Forca minimale e hijes 3D
The minimum strength of the 3D animation's shadow at its lightest point. Can be set between 0 and 0.5.,"Forca minimale e hijes së animacionit 3D në pikën e tij më të lehtë. Mund të vendoset midis 0 dhe 0,5."
3D Shadow Maximum Strength,Forca maksimale e hijes 3D
The maximum strength of the 3D animation's shadow at its darkest point. Can be set between 0.5 and 1.,Forca maksimale e hijes së animacionit 3D në pikën e tij më të errët. Mund të vendoset midis 0.5 dhe 1.
3D Shadow Limitation,Kufizimi i hijes 3D
"The limit on the distance between minimum and maximum strength points in the shadow. A value of 1 creates a gradient across the full slide, 0.5 creates gradient across 50%of the slide, and so on.","Kufiri në distancën midis pikave të forcës minimale dhe maksimale në hije. Një vlerë prej 1 krijon një gradient në të gjithë rrëshqitjen e plotë, 0.5 krijon një gradient në 50%të rrëshqitjes, e kështu me radhë."
3D Shadow Color,Ngjyra e hijes 3D
The color of the 3D shadow effect.,Ngjyra e efektit të hijes 3D.
Background Image Filter,Filtri i imazhit të sfondit
An Instagram-type filter to apply to the Slide's main background image,Një filtër i tipit Instagram për t'u aplikuar në imazhin kryesor të sfondit të Slide
Slide Time/Length,Koha/Gjatësia e rrëshqitjes
The Slide's total duration before the next Slide is shown,Shfaqet kohëzgjatja totale e rrëshqitjes përpara rrëshqitjes tjetër
Pause the Slider from changing Slides when this Slide is shown,Ndalo rrëshqitësin nga ndryshimi i Diapozitivëve kur shfaqet ky Slide
Visible in Navigation,E dukshme në Navigacion
"Show the Slide in the Slider's main navigation, or make the Slide 'hidden' so it can only be shown from a Layer Action click","Shfaq rrëshqitjen në navigimin kryesor të rrëshqitësit, ose bëje rrëshqitjen 'të fshehur' në mënyrë që të mund të shfaqet vetëm nga një klikim i veprimit të shtresës"
Hide After Loop,Fshih pas ciklit
Remove the Slide from the Slide stack after a set amount of loops,Hiqeni Slide nga rafti Slide pas një sasie të caktuar sythe
Hide on Mobile,Fshihu në celular
Hide the Slide on mobile devices,Fshih rrëshqitjen në pajisjet celulare
Published Status,Statusi i publikuar
Choose the published state of the Slide. Choose 'Unpublished' to work on the Slide in a draft status.,"Zgjidhni gjendjen e publikuar të rrëshqitjes. Zgjidhni ""I papublikuar"" për të punuar në Slide në një status draft."
Publish Start Date,Publikimi i datës së fillimit
Set a starting date for when the Slide should officially be included in the Slider,Caktoni një datë fillimi se kur Slide duhet të përfshihet zyrtarisht në Rrëshqitës
Publish End Date,Data e përfundimit të publikimit
Set an end date for when the Slide should officially be excluded from the Slider,Caktoni një datë mbarimi kur Slide duhet të përjashtohet zyrtarisht nga Rrëshqitësi
Slide Classes,Klasa me rrëshqitje
Add optional class names to the Slide to target the Slide with custom CSS or JavaScript,Shtoni emra opsionalë të klasave në Slide për të synuar rrëshqitjen me CSS ose JavaScript të personalizuar
Slide ID,ID-ja e rrëshqitjes
Add an optional ID to the Slide to target the Slide with custom CSS or JavaScript,Shtoni një ID opsionale në Slide për të synuar rrëshqitjen me CSS ose JavaScript të personalizuar
Data Attributes,Atributet e të dhënave
Optional data-attributes that can be added to the Slide to target it with custom CSS or JavaScript,Atribute opsionale të të dhënave që mund të shtohen në Slide për ta synuar atë me CSS ose JavaScript të personalizuar
Enable Slide Link,Aktivizo Slide Link
Add a link to the entire Slide area,Shtoni një lidhje në të gjithë zonën e Slide
Link Type,Lloji i lidhjes
Choose a traditional link to the Slide to navigate to a new web page or another Slide,Zgjidhni një lidhje tradicionale në Slide për të lundruar në një faqe të re ueb ose në një tjetër Slide
Link URL,URL-ja e lidhjes
The url to go to when the Slide is clicked,URL-ja ku duhet shkuar kur klikohet Slide
Link Target,Synimi i lidhjes
The <a href='https://www.w3schools.com/tags/att_link_target.asp' target='_blank'>target attribute</a> for the Slide link,<a href='https://www.w3schools.com/tags/att_link_target.asp' target='_blank'>Atributi i synuar</a> për lidhjen Slide
Link to Slide,Lidhja me Slide
Link to another Slide in the Slider,Lidhja me një tjetër Slide në Rrëshqitës
Link Sensibility,Ndjeshmëria e lidhjes
Choose of the Slide link should be placed behind or above the Slide's Layer content,Zgjedhja e lidhjes së rrëshqitjes duhet të vendoset prapa ose mbi përmbajtjen e shtresës së rrëshqitjes
Enable the PanZoom effect by default for this Slide,Aktivizo efektin PanZoom si parazgjedhje për këtë Slide
The starting zoom percentage,Përqindja fillestare e zmadhimit
The ending zoom percentage,Përqindja përfundimtare e zmadhimit
The starting x position for the PanZoom movement,Pozicioni x fillestar për lëvizjen PanZoom
The end x position for the PanZoom movement,Pozicioni i fundit x për lëvizjen PanZoom
The starting y position for the PanZoom movement,Pozicioni fillestar y për lëvizjen PanZoom
The ending y position for the PanZoom movement,Pozicioni y i fundit për lëvizjen PanZoom
The starting rotation for the PanZoom effect (deg),Rrotullimi fillestar për efektin PanZoom (gradë)
The ending rotation for the PanZoom effect (deg),Rrotullimi i fundit për efektin PanZoom (gradë)
The starting image blur for the PanZoom effect (px),Turbullimi i figurës fillestare për efektin PanZoom (px)
The ending image blur for the PanZoom effect (px),Turbullimi i imazhit përfundimtar për efektin PanZoom (px)
The easing equation. <a href='https://greensock.com/ease-visualizer' target=_'blank'>View visualization</a>,Ekuacioni i lehtësimit. <a href='https://greensock.com/ease-visualizer' target=_'blank'>Shikoni vizualizimin</a>
The easing duration in milliseconds,Kohëzgjatja e lehtësimit në milisekonda
Parameter Value,Vlera e parametrit
Slide data that can be used for navigation text/data,Të dhënat e rrëshqitjes që mund të përdoren për tekstin/të dhënat e lundrimit
Max Characters,Personazhet Max
The maximum characters/letters to display for the paramater,Karakteret/shkronjat maksimale për t'u shfaqur për parametrin
A Slide description for certain navigation types,Një përshkrim i rrëshqitjes për lloje të caktuara navigimi
Slide Looping,Slide Looping
Loop all or part of the current Slide's timeline,Lloko të gjithë ose një pjesë të afatit kohor aktual të Slide-it
Slide Loop Repeat,Përsëritja e ciklit të rrëshqitjes
Enter a specific amount of times the Slide's timeeline should loop or use 'unlimited' to loop continusously until the Slide changes,Futni një sasi të caktuar të herëve që duhet të qarkullojë linja kohore e Diapozitivës ose përdorni 'të pakufizuar' për të qarkulluar vazhdimisht derisa të ndryshojë Slide
Slide Loop Start,Fillimi i ciklit të rrëshqitjes
The point in the timeline where the looping should begin,Pika në afatin kohor ku duhet të fillojë looping
Slide Loop End,Fundi i ciklit të rrëshqitjes
The <a href='http://docs.themepunch.com/slider-revolution/parallax-3d-effect/#depths' target='_blank'>parallax level</a> to apply to the Slide's main background,Niveli i <a href='http://docs.themepunch.com/slider-revolution/parallax-3d-effect/#depths' target='_blank'>paralaksës</a> për t&#39;u zbatuar në sfondin kryesor të Slide
Fade Effect,Efekti i zbehjes
Fade Layers in and out as the page scrolls into and out of view,Zbehni shtresat brenda dhe jashtë ndërsa faqja lëviz brenda dhe jashtë pamjes
Blur Effect,Efekti i turbullimit
Blur Layers in and out as the page scrolls into and out of view,Blur shtresat brenda dhe jashtë ndërsa faqja lëviz brenda dhe jashtë pamjes
Grayscale Effect,Efekti në shkallë gri
Aply a grayscale filter to Layers as the page scrolls into and out of view,Aplikoni një filtër gri në shtresat ndërsa faqja lëviz brenda dhe jashtë pamjes
Layer Text,Teksti i shtresës
The html/text for the selected Layer's content. 'Idle' is the default text. And 'Toggle' is alternative text to show when the Layer is clicked.,"html/teksti për përmbajtjen e shtresës së zgjedhur. ""Idle"" është teksti i paracaktuar. Dhe 'Toggle' është tekst alternativ për t'u shfaqur kur klikohet Shtresa."
Placeholder,Vendmbajtësi
Optional placeholder attribute for the Layer's wrapper,Atributi opsional i mbajtësit të vendndodhjes për mbështjellësin e shtresës
Line Break Behavior,Sjellja e ndërprerjes së linjës
Choose how text should wrap/break onto lines lines,Zgjidhni se si teksti duhet të mbështillet/ndahet në vijat e rreshtave
Choose if the Image source should be populated by the Slide's social stream content,Zgjidhni nëse burimi i imazhit duhet të plotësohet nga përmbajtja e transmetimit social të Slide
Set/change the image for the Layer,Vendosni/ndryshoni imazhin për shtresën
"'Default' will use the Slider's Lazy Load setting, 'Force' will LazyLoad the image regardless of the Slider's settings, and 'Ignore' will set LazyLoad to off regardless of the Slider's settings.","'Default' do të përdorë cilësimin Lazy Load të Slider's, 'Force' do të LazyLoad imazhin pavarësisht nga cilësimet e Slider dhe 'Ignore' do ta çaktivizojë LazyLoad pavarësisht nga cilësimet e Slider."
Image Source Size,Madhësia e burimit të imazhit
The default WordPress Image size to be used when the image is loaded,Madhësia e parazgjedhur e imazhit të WordPress që do të përdoret kur ngarkohet imazhi
The Layer's image will be populated automatically from the Slider's Video-Stream source,Imazhi i shtresës do të plotësohet automatikisht nga burimi i Video-Stream i Slider
Video Type,Lloji i videos
"Choose if the video should be loaded from YouTube, Vimeo or locally (HTML5)","Zgjidh nëse videoja duhet të ngarkohet nga YouTube, Vimeo ose lokalisht (HTML5)"
YouTube/Vimeo ID,ID-ja e YouTube/Vimeo
The <a href='https://www.quora.com/What-is-a-YouTube-video-ID' target=_'blank'>YouTube ID</a> or <a href='https://docs.joeworkman.net/rapidweaver/stacks/vimeo/video-id' target='_blank'>Vimeo ID</a> for the video's source,<a href='https://www.quora.com/What-is-a-YouTube-video-ID' target=_'blank'>ID-ja e YouTube</a> ose <a href='https://docs.joeworkman.net/rapidweaver/stacks/vimeo/video-id' target='_blank'>ID Vimeo</a> për burimin e videos
HTML5 Video URL,URL e videos HTML5
The url for the locally loaded HTML5 Video,URL-ja për videon HTML5 të ngarkuar në vend
HTML5 Audio URL,URL audio HTML5
The url for the locally loaded HTML5 Audio,URL-ja për audion HTML5 të ngarkuar në vend
Preload,Ngarkimi paraprak
The HTML5 Video/Audio <a href='https://www.w3schools.com/tags/att_video_preload.asp' target=_'blank'>preload behavior</a> for the currently selected Video Layer,<a href='https://www.w3schools.com/tags/att_video_preload.asp' target=_'blank'>Sjellja e parangarkesës së</a> videos/Audios HTML5 për shtresën e videos së zgjedhur aktualisht
Preload Delay,Vonesa e parangarkesës
Skip the preloading of HTML5 Audio by a set amount of seconds,Kapërceni ngarkimin paraprak të audios HTML5 me një sasi të caktuar sekondash
Autoplay,Luaj automatikisht
The autoplay behavior for the currently selected Video Layer,Sjellja e luajtjes automatike për shtresën e videos së zgjedhur aktualisht
Loop Video/Audio,Loop Video/Audio
Restart the video/audio every time it ends,Rinisni videon/audio sa herë që përfundon
Poster from Stream,Poster nga Stream
The video's poster image will be populated automatically from the Slider's Video-Stream source,Imazhi i posterit të videos do të plotësohet automatikisht nga burimi i Video-Stream i Slider
Poster URL,URL-ja e posterit
Set/remove the video's preview image for the video,Vendos/hiq imazhin e shikimit paraprak të videos për videon
Show Poster on Video Pause,Shfaq posterin në pauzë të videos
Show the video's preview image whenever the video is paused by the user or on a Slide change,Shfaq imazhin e pamjes paraprake të videos sa herë që video ndërpritet nga përdoruesi ose në një ndryshim në Slide
No Poster on Mobile,Nuk ka poster në celular
Only show a video preview image on desktop computers,Shfaqni vetëm një imazh paraprak të videos në kompjuterët desktop
Only Poster on Mobile,Vetëm poster në celular
Only show a video preview image on mobile devices,Shfaqni vetëm një imazh të pamjes paraprake të videos në pajisjet celulare
Stop Other Media,Ndaloni mediat e tjera
Stop/pause other video/audio in the Slide when the currently selected Video Layer begins to play,Ndalo/pauzo videon/audio tjetër në Slide kur fillon të luhet shtresa e videos së zgjedhur aktualisht
Allow Fullscreen,Lejo ekran të plotë
Allow the video to be taken fullscreen by the user,Lejo që video të merret në ekran të plotë nga përdoruesi
Change to the next Slide when the video/audio ends,Ndrysho në Slide-n tjetër kur përfundon video/audio
Always play the video/audio from the beginning each time the Slide is shown,Luaje gjithmonë videon/audio nga fillimi sa herë që shfaqet Slide
No Interaction,Asnjë ndërveprim
Disable all possible user-interaction with the video,Çaktivizo të gjithë ndërveprimin e mundshëm të përdoruesit me videon
Controls,Kontrollet
Display controls in the video/audio player,Shfaqni kontrollet në luajtësin e videos/audio
Large Controls,Kontrolle të mëdha
Include large controls for HTML5 Video Layers,Përfshini kontrolle të mëdha për shtresat e videos HTML5
Inline Mode,Modaliteti Inline
Include a 'playsline' attribute with the video element. This will prevent the video from being taken fullscreen when it initially plays on mobile devices.,Përfshi një atribut 'playsline' me elementin e videos. Kjo do të parandalojë marrjen e videos në ekran të plotë kur ajo luhet fillimisht në pajisjet celulare.
Video/Audio Volume,Vëllimi i videos/Audios
The initial volume for the video/audio. Choose a number between 0-100,Vëllimi fillestar për videon/audio. Zgjidhni një numër midis 0-100
Column Structure,Struktura e kolonës
Choose the number of columns and their <a href='https://www.w3schools.com/tags/att_td_colspan.asp' target='_blank'>colspan</a> for the selected row,Zgjidhni numrin e kolonave dhe <a href='https://www.w3schools.com/tags/att_td_colspan.asp' target='_blank'>shtrirjen e</a> tyre për rreshtin e zgjedhur
Break At,Pushim në
Choose which viewport the rows should collapse into single columns,Zgjidhni cili port pamjeje duhet të shembet rreshtat në kolona të vetme
Row Position,Pozicioni i rreshtit
"The vertical-align value for the row in relation to the Module's height (top, middle or bottom)","Vlera e rreshtimit vertikal për rreshtin në lidhje me lartësinë e modulit (sipër, mes ose poshtë)"
The CSS text-align for the Layer's text. Also useful for aligning content inside rows/colums,Lidhja e tekstit CSS për tekstin e shtresës. Gjithashtu i dobishëm për rreshtimin e përmbajtjes brenda rreshtave/kolonave
The vertical alignment for content inside a row/column,Shtrirja vertikale për përmbajtjen brenda një rreshti/kolone
CSS Display,Ekrani CSS
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/display' target='_blank'>CSS display property</a> for the Layer as it fits inside the Column,<a href='https://developer.mozilla.org/en-US/docs/Web/CSS/display' target='_blank'>Vetia e shfaqjes së CSS</a> për shtresën ashtu siç përshtatet brenda kolonës
CSS Float,CSS Float
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/float' target='_blank'>CSS float property</a> for the Layer as it fits inside the Column,<a href='https://developer.mozilla.org/en-US/docs/Web/CSS/float' target='_blank'>Vetia float CSS</a> për shtresën ashtu siç përshtatet brenda kolonës
CSS Clear,CSS Pastro
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/clear' target='_blank'>CSS clear property</a> for the Layer as it fits inside the Column,<a href='https://developer.mozilla.org/en-US/docs/Web/CSS/clear' target='_blank'>Vetia CSS pastron</a> për shtresën ashtu siç përshtatet brenda kolonës
Add Linebreak Before,Shto Linebreak Para
Add a linebreak before the currently selected Layer. Useful when floats are used.,Shtoni një shkëputje të linjës përpara shtresës së zgjedhur aktualisht. E dobishme kur përdoren lundrues.
Add Linebreak After,Shto Linebreak Pas
Add a linebreak after the currently selected Layer. Useful when floats are used.,Shtoni një shkëputje të linjës pas shtresës së zgjedhur aktualisht. E dobishme kur përdoren lundrues.
Layer HTML Tag,Etiketa HTML e shtresës
Choose which HTML tag should be used for the Layer. Useful for SEO purposes,Zgjidhni cili etiketë HTML duhet të përdoret për Shtresën. E dobishme për qëllime SEO
Font Size,Përmasa e germave
The Layer's font-size for the currently selected viewport,Madhësia e shkronjave të shtresës për pamjen e zgjedhur aktualisht
Line Height,Vija e gjatesise
The Layer's <a href='https://www.w3schools.com/cssref/pr_dim_line-height.asp' target=_'blank'>CSS line-height</a> value for the currently selected viewport,<a href='https://www.w3schools.com/cssref/pr_dim_line-height.asp' target=_'blank'>Vlera e lartësisë së linjës CSS të</a> shtresës për pamjen e zgjedhur aktualisht
Font Weight,Pesha e shkronjave
The Layer's <a href=https://www.w3schools.com/cssref/pr_font_weight.asp' target=_'blank'>CSS font-weight</a> value for the currently selected viewport,<a href=https://www.w3schools.com/cssref/pr_font_weight.asp' target=_'blank'>Vlera e peshës së shkronjave CSS të</a> shtresës për pamjen e zgjedhur aktualisht
Letter Spacing,Hapësira e shkronjave
The Layer's <a href=https://www.w3schools.com/cssref/pr_text_letter-spacing.asp' target=_'blank'>CSS letter-spacing</a> value for the currently selected viewport,<a href=https://www.w3schools.com/cssref/pr_text_letter-spacing.asp' target=_'blank'>Vlera e ndarjes së shkronjave CSS të</a> shtresës për pamjen e zgjedhur aktualisht
Font Family,Familja e shkronjave
The Google Font for the currently selected Layer's text,Fonti i Google për tekstin e shtresës së zgjedhur aktualisht
Text Color,Ngjyra e tekstit
The text color for the currently selected Layer,Ngjyra e tekstit për shtresën e zgjedhur aktualisht
Font-Style: Italic,Stili i fontit: Kursi
Add italics to the currently selected Layer's text,Shtoni shkronja të pjerrëta në tekstin e shtresës së zgjedhur aktualisht
Text Decoration,Dekorimi i tekstit
Add an text underline to the currently selected Layer's text,Shtoni një nënvizim teksti në tekstin e shtresës së zgjedhur aktualisht
Text Transform,Transformimi i tekstit
The CSS <a href='https://www.w3schools.com/cssref/pr_text_text-transform.asp' target='_blank'>text-transform</a> value for the text,Vlera e <a href='https://www.w3schools.com/cssref/pr_text_text-transform.asp' target='_blank'>transformimit të tekstit</a> CSS për tekstin
Layer is Selectable,Shtresa është e përzgjedhshme
The CSS <a href='https://www.w3schools.com/cssref/css3_pr_user-select.asp' target='_blank'>user-select</a> value for the text,Vlera e <a href='https://www.w3schools.com/cssref/css3_pr_user-select.asp' target='_blank'>zgjedhur nga përdoruesi</a> CSS për tekstin
